City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,upernavik,72.7868,-56.1549,-29.12,98,71,1.08,GL,1680479397
143,yellowknife,62.456,-114.3525,-10.71,62,75,1.54,CA,1680479494
144,sao joao da barra,-21.6403,-41.0511,25.05,74,60,4.99,BR,1680479495
145,tura,25.5198,90.2201,17.3,86,25,2.32,IN,1680479495
146,san patricio,28.017,-97.5169,28.99,72,100,6.92,US,1680479495
147,ziro,27.6333,93.8333,6.54,99,97,0.59,IN,1680479495
148,yulara,-25.2406,130.9889,24.69,42,43,3.82,AU,1680479495
149,saint george,37.1041,-113.5841,22.19,20,0,3.09,US,1680479495
150,turukhansk,65.8167,87.9833,-2.77,89,100,3.53,RU,1680479495
151,airai,-8.9266,125.4092,18.95,74,67,0.92,TL,1680479495
152,sorland,67.667,12.6934,2.92,67,100,11.73,NO,1680479495
153,dawlatabad,36.4141,64.9053,13.23,76,100,2.86,AF,1680479496
154,discovery bay,37.9085,-121.6002,16.67,52,0,9.26,US,1680479496
155,kodiak,57.79,-152.4072,3.73,45,0,4.63,US,1680479496
156,ust-maya,60.4167,134.5333,-13.32,94,100,1.39,RU,1680479496
157,port hedland,-20.3167,118.5667,29.63,63,76,3.86,AU,1680479496
158,karratha,-20.7377,116.8463,28.49,71,64,3.0,AU,1680479496
159,grindavik,63.8424,-22.4338,3.97,87,100,6.17,IS,1680479496
160,orcopampa,-15.2661,-72.3417,9.1,88,99,2.47,PE,1680479496
161,honningsvag,70.9821,25.9704,-0.14,64,90,8.23,NO,1680479496
162,katsuura,35.1333,140.3,11.9,69,100,8.67,JP,1680479496
163,razdolinsk,58.4211,94.6658,-9.12,95,100,3.89,RU,1680479497
164,lodja,-3.4833,23.4333,20.13,98,59,0.73,CD,1680479497
165,kiunga,-6.1219,141.2906,26.34,86,97,1.34,PG,1680479497
166,benguela,-12.5763,13.4055,26.38,81,90,3.14,AO,1680479497
167,rundu,-17.9333,19.7667,18.95,68,49,1.56,NA,1680479497
168,rassvet,46.8333,40.75,6.61,70,63,3.81,RU,1680479497
169,hauterive,46.0901,3.4459,7.42,98,100,3.48,FR,1680479497
170,polyarnyy,69.1989,33.4478,-12.65,100,75,3.39,RU,1680479497
171,mapiri,-15.25,-68.1667,20.97,97,76,0.11,BO,1680479497
172,bilibino,68.0546,166.4372,-21.97,89,96,1.42,RU,1680479497
173,saint-philippe,-21.3585,55.7679,24.77,80,98,3.99,RE,1680479498
174,nanortalik,60.1432,-45.2371,-0.93,90,100,2.63,GL,1680479498
175,nang rong,14.6377,102.7914,26.42,62,39,2.03,TH,1680479498
176,port blair,11.6667,92.75,25.57,77,98,3.11,IN,1680479498
177,salihorsk,52.7876,27.5415,0.38,95,100,7.57,BY,1680479498
178,reshetylivka,49.565,34.0782,7.85,76,100,4.81,UA,1680479498
179,kupang,-10.1667,123.5833,26.32,100,20,1.54,ID,1680479498
180,damaturu,11.747,11.9608,25.3,11,66,3.73,NG,1680479498
181,bambous virieux,-20.3428,57.7575,26.14,89,75,3.6,MU,1680479498
182,alamos,27.0167,-108.9333,30.97,7,100,3.51,MX,1680479499
183,pogar,52.554,33.2591,5.96,94,100,2.44,RU,1680479499
184,saint-pierre,-21.3393,55.4781,24.82,73,0,3.09,RE,1680479499
185,cerqueira cesar,-23.0356,-49.1661,17.22,85,22,4.91,BR,1680479499
186,cape town,-33.9258,18.4232,20.21,86,75,3.09,ZA,1680479400
187,nicoya,10.1483,-85.452,27.93,60,30,6.28,CR,1680479499
188,olafsvik,64.8945,-23.7142,3.58,93,100,4.5,IS,1680479499
189,aklavik,68.2191,-135.0107,-8.46,81,100,2.81,CA,1680479499
190,portland,45.5234,-122.6762,9.18,81,75,3.13,US,1680479460
191,victoria,22.2855,114.1577,22.03,90,98,1.34,HK,1680479267
192,yaan,7.3833,8.5667,30.75,41,69,2.81,NG,1680479500
193,magadan,59.5667,150.8,-2.48,73,71,2.22,RU,1680479500
194,sola,-13.8833,167.55,28.35,74,97,6.0,VU,1680479500
195,thunder bay,48.4001,-89.3168,-0.05,93,100,3.6,CA,1680479454
196,ostrovnoy,68.0531,39.5131,-8.84,88,100,2.79,RU,1680479500
197,general roca,-39.0333,-67.5833,19.23,39,94,5.68,AR,1680479500
198,dubbo,-32.25,148.6167,21.07,60,0,5.66,AU,1680479500
199,hamilton,39.1834,-84.5333,12.09,57,0,2.57,US,1680479327
200,port lincoln,-34.7333,135.8667,18.98,54,49,2.88,AU,1680479501
201,elliot lake,46.3834,-82.6331,-1.72,84,97,3.88,CA,1680479501
202,souillac,-20.5167,57.5167,26.21,89,75,3.6,MU,1680479501
203,tafo,6.7345,-1.6127,22.04,95,100,1.38,GH,1680479501
204,kidal,18.4411,1.4078,24.76,8,41,1.68,ML,1680479501
205,acapulco,16.8634,-99.8901,29.9,62,0,5.14,MX,1680479426
206,puerto ayora,-0.7393,-90.3518,27.53,91,91,3.58,EC,1680479501
207,pacific grove,36.6177,-121.9166,15.21,68,40,5.66,US,1680479501
208,thinadhoo,0.5333,72.9333,27.66,69,7,1.66,MV,1680479501
209,necochea,-38.5473,-58.7368,16.53,71,100,3.14,AR,1680479289
210,mar del plata,-38.0023,-57.5575,21.16,61,0,1.54,AR,1680479502
211,asyut,27.181,31.1837,18.1,25,0,1.64,EG,1680479502
212,bara,10.3744,10.7288,24.91,12,8,3.26,NG,1680479502
213,bengkulu,-3.8004,102.2655,23.41,90,99,2.01,ID,1680479503
214,cesvaine,56.9667,26.3167,-4.32,93,24,4.37,LV,1680479503
215,alofi,-19.0595,-169.9187,28.94,70,56,8.75,NU,1680479503
216,cap malheureux,-19.9842,57.6142,25.82,77,100,1.34,MU,1680479503
217,sitka,57.0531,-135.33,5.94,70,75,3.09,US,1680479503
218,mangrol,21.1167,70.1167,23.19,77,0,3.24,IN,1680479503
219,latung,5.5,120.8833,27.6,75,100,4.23,PH,1680479503
220,egvekinot,66.3167,-179.1667,-17.16,93,100,2.56,RU,1680479504
221,ambilobe,-13.2,49.05,22.36,96,95,1.19,MG,1680479504
222,port macquarie,-31.4333,152.9167,22.16,81,92,1.62,AU,1680479504
223,sable-sur-sarthe,47.8376,-0.3329,6.14,93,17,3.21,FR,1680479504
224,ozernovskiy,51.5,156.5167,0.25,88,88,5.31,RU,1680479504
225,puntarenas,9.9763,-84.8384,29.33,63,99,3.89,CR,1680479386
226,almaty,43.25,76.95,-3.05,40,0,5.0,KZ,1680479504
227,sambava,-14.2667,50.1667,24.17,91,100,2.59,MG,1680479504
228,berzovia,45.4261,21.6281,7.78,91,31,1.16,RO,1680479504
229,severo-kurilsk,50.6789,156.125,0.44,85,97,6.62,RU,1680479504
230,quibor,9.9287,-69.6201,24.47,61,27,3.17,VE,1680479505
231,porto novo,6.4965,2.6036,27.59,81,49,3.2,BJ,1680479274
232,arteaga,18.4667,-102.4167,25.79,39,58,3.41,MX,1680479287
233,tombouctou,20.0,-3.0,26.21,6,25,3.29,ML,1680479505
234,mutis,6.2262,-77.4044,26.18,88,99,0.86,CO,1680479505
235,xuddur,4.1213,43.8894,23.69,76,100,4.09,SO,1680479505
236,zhuhai,22.2769,113.5678,21.88,88,40,8.23,CN,1680479505
237,esso,55.9333,158.7,2.29,72,17,1.39,RU,1680479505
238,fare,-16.7,-151.0167,28.27,70,94,2.91,PF,1680479505
239,garowe,8.4054,48.4845,25.49,65,20,4.93,SO,1680479506
240,witu,-2.3889,40.4382,28.09,84,60,2.89,KE,1680479506
241,pevek,69.7008,170.3133,-26.14,96,100,1.37,RU,1680479506
242,almunecar,36.7339,-3.6907,15.8,68,64,1.49,ES,1680479506
243,port elizabeth,-33.918,25.5701,21.29,68,0,5.66,ZA,1680479506
244,guerrero negro,27.9769,-114.0611,16.69,63,1,9.25,MX,1680479506
245,los llanos de aridane,28.6585,-17.9182,17.85,76,100,5.66,ES,1680479506
246,mokolo,10.7398,13.8019,25.86,15,23,2.5,CM,1680479506
247,saint anthony,45.0205,-93.218,7.96,56,0,7.72,US,1680479445
248,verkhnya syrovatka,50.829,34.9586,7.09,82,100,2.74,UA,1680479506
249,kokopo,-4.352,152.2633,28.59,70,70,1.16,PG,1680479506
250,immokalee,26.4187,-81.4173,27.99,80,90,4.48,US,1680479507
251,arona,28.0996,-16.681,18.84,71,20,5.66,ES,1680479507
252,tera,14.0078,0.7531,28.64,9,72,4.12,NE,1680479507
253,teya,60.3778,92.6267,-7.27,92,100,3.4,RU,1680479507
254,arraial do cabo,-22.9661,-42.0278,24.79,69,67,5.5,BR,1680479507
255,mangan,27.5167,88.5333,13.49,75,97,2.53,IN,1680479507
256,hasaki,35.7333,140.8333,13.22,58,99,9.43,JP,1680479507
257,aykhal,66.0,111.5,-8.2,89,100,11.46,RU,1680479507
258,tornio,65.8481,24.1466,-14.99,98,15,1.14,FI,1680479508
259,grand gaube,-20.0064,57.6608,26.22,77,99,1.34,MU,1680479508
260,quthing,-30.4,27.7003,13.39,87,90,1.47,LS,1680479508
261,tizapan el alto,20.1667,-103.0667,28.31,24,89,1.01,MX,1680479508
262,nouadhibou,20.931,-17.0347,25.99,41,3,5.14,MR,1680479508
263,aban,56.67,96.06,-7.97,82,100,4.38,RU,1680479508
264,lossiemouth,57.7214,-3.2834,6.95,83,20,3.6,GB,1680479508
265,sheridan,44.8333,-106.9173,4.21,47,100,2.57,US,1680479508
266,henties bay,-22.116,14.2845,15.77,91,6,2.49,NA,1680479508
267,paragominas,-2.9667,-47.4833,22.14,98,98,1.36,BR,1680479509
268,simiti,7.9579,-73.9436,27.69,75,94,1.41,CO,1680479509
269,cabedelo,-6.9811,-34.8339,27.37,75,100,3.12,BR,1680479509
270,maceio,-9.6658,-35.7353,25.69,88,0,2.57,BR,1680479286
271,effingham,32.3669,-81.3332,23.25,61,92,0.98,US,1680479509
272,pascagoula,30.3658,-88.5561,23.4,51,0,3.09,US,1680479268
273,tuatapere,-46.1333,167.6833,15.09,50,91,1.54,NZ,1680479509
274,teguise,29.0605,-13.564,16.12,77,20,10.29,ES,1680479509
275,manggar,-2.8833,108.2667,25.66,80,100,1.69,ID,1680479509
276,collie,-33.3667,116.15,16.05,80,3,2.24,AU,1680479510
277,cauquenes,-35.9671,-72.3225,17.21,40,33,2.15,CL,1680479510
278,devils lake,48.1128,-98.8651,2.19,79,100,6.69,US,1680479510
279,oksfjord,70.2396,22.3479,0.1,75,83,3.56,NO,1680479510
280,orlik,52.5178,99.825,-22.78,85,3,1.14,RU,1680479510
281,praya,14.9215,-23.5087,24.3,78,0,5.14,CV,1680479511
282,tonk,26.1667,75.7833,24.25,34,71,4.54,IN,1680479511
283,mackenzie,55.2999,-123.1698,6.12,33,75,3.09,CA,1680479511
284,presidencia roque saenz pena,-26.7852,-60.4388,26.0,47,7,4.34,AR,1680479511
285,vao,-22.6667,167.4833,25.65,81,23,3.03,NC,1680479511
286,anloga,5.7947,0.8973,27.89,82,28,5.05,GH,1680479511
287,bezerros,-8.2333,-35.7969,21.84,92,100,1.54,BR,1680479511
288,alice town,25.7167,-79.3,25.17,74,9,3.57,BS,1680479512
289,fuyang,32.9,115.8167,11.74,94,100,7.22,CN,1680479512
290,sterling,39.0062,-77.4286,12.48,42,0,2.57,US,1680479373
291,hualmay,-11.0964,-77.6139,24.79,81,59,3.41,PE,1680479512
292,itarema,-2.9248,-39.9167,23.98,89,100,1.55,BR,1680479512
293,namibe,-15.1961,12.1522,23.75,79,22,4.22,AO,1680479512
294,saint-louis,16.3333,-15.0,30.8,14,93,6.07,SN,1680479512
295,babynino,54.39,35.73,6.86,91,99,1.66,RU,1680479512
296,saint-francois,46.4154,3.9054,6.69,93,100,3.6,FR,1680479512
297,neka,36.6508,53.299,7.23,80,80,2.4,IR,1680479512
298,longyearbyen,78.2186,15.6401,-8.09,93,100,0.51,SJ,1680479513
299,puerto quijarro,-17.7833,-57.7667,26.56,71,84,1.03,BO,1680479513
300,flinders,-34.5833,150.8552,22.81,75,54,0.89,AU,1680479513
301,caravelas,-17.7125,-39.2481,25.65,78,56,4.37,BR,1680479513
302,klaksvik,62.2266,-6.589,6.51,82,100,5.59,FO,1680479513
303,nortelandia,-14.4547,-56.8028,23.0,91,22,1.5,BR,1680479513
304,umm kaddadah,13.6017,26.6876,21.92,12,81,4.97,SD,1680479513
305,fiumicino,41.7675,12.2291,12.06,57,0,3.09,IT,1680479513
306,kununurra,-15.7667,128.7333,23.99,94,74,2.06,AU,1680479513
307,nara,34.6851,135.8049,13.84,30,90,1.68,JP,1680479513
308,tiangua,-3.7322,-40.9917,19.22,99,100,0.38,BR,1680479513
309,shenkursk,62.1091,42.896,-1.94,96,100,5.43,RU,1680479514
310,kavaratti,10.5669,72.642,27.54,69,13,3.97,IN,1680479514
311,bestobe,52.4994,73.0975,-0.22,41,1,3.77,KZ,1680479514
312,arica,-18.475,-70.3042,25.75,73,0,1.54,CL,1680479514
313,norman wells,65.282,-126.8329,-5.98,45,40,1.03,CA,1680479514
314,beloha,-25.1667,45.05,21.59,88,53,3.75,MG,1680479514
315,bereda,43.2686,-7.5406,2.86,100,48,0.99,ES,1680479514
316,batemans bay,-35.7167,150.1833,17.83,56,11,1.84,AU,1680479514
317,high level,58.5169,-117.136,-4.94,68,75,4.63,CA,1680479408
318,djibo,14.1022,-1.6306,27.69,10,37,2.08,BF,1680479514
319,padang,-0.9492,100.3543,24.03,94,100,2.68,ID,1680479386
320,dezhou,37.4486,116.2925,15.79,36,100,3.86,CN,1680479515
321,lorengau,-2.0226,147.2712,29.11,69,97,3.57,PG,1680479515
322,lakinsk,56.0193,39.9485,4.31,94,100,2.09,RU,1680479515
323,bemidji,47.4736,-94.8803,4.39,83,100,5.14,US,1680479515
324,varhaug,58.6147,5.6457,4.94,76,65,0.45,NO,1680479515
325,whitehorse,60.7161,-135.0538,0.05,49,100,0.89,CA,1680479295
326,sinnamary,5.3833,-52.95,24.71,84,82,4.25,GF,1680479515
327,kendari,-3.945,122.4989,24.29,91,100,1.44,ID,1680479515
328,warner robins,32.621,-83.5999,21.23,43,40,2.06,US,1680479515
329,severnyy,50.677,36.5532,7.02,60,0,2.0,RU,1680479515
330,anadyr,64.75,177.4833,-14.72,85,75,4.0,RU,1680479515
331,raga,8.4596,25.678,24.59,16,12,1.23,SS,1680479516
332,joshimath,30.5667,79.5667,6.62,51,21,3.54,IN,1680479516
333,tuensang,26.2833,94.8333,13.12,93,51,1.48,IN,1680479516
334,vostok,46.4856,135.8833,10.89,53,4,0.66,RU,1680479516
335,college,64.8569,-147.8028,-0.79,77,75,6.17,US,1680479516
336,toucheng,24.8592,121.8233,22.97,69,92,2.26,TW,1680479516
337,flin flon,54.7682,-101.865,-8.09,45,40,3.6,CA,1680479462
338,iqaluit,63.7506,-68.5145,-12.15,56,75,6.69,CA,1680479516
339,kambove,-10.8764,26.5969,15.87,98,96,1.14,CD,1680479516
340,soyo,-6.1349,12.3689,27.32,84,33,4.61,AO,1680479516
341,cooma,-36.2333,149.1333,15.87,63,20,3.55,AU,1680479516
342,brighton,50.8284,-0.1395,4.4,84,4,1.79,GB,1680479429
343,kalach-na-donu,48.691,43.5264,7.3,73,83,1.82,RU,1680479517
344,reconquista,-29.15,-59.65,20.98,42,18,3.52,AR,1680479517
345,bosanska gradiska,45.1411,17.25,7.14,78,89,3.95,BA,1680479517
346,noumea,-22.2763,166.4572,30.99,99,19,3.82,NC,1680479472
347,yamethin,20.4333,96.15,23.35,60,40,2.82,MM,1680479517
348,zvishavane,-20.3267,30.0665,15.75,95,3,0.43,ZW,1680479517
349,brownfield,33.1812,-102.2744,28.3,7,0,5.48,US,1680479517
350,hofn,64.2539,-15.2082,3.06,97,100,4.44,IS,1680479517
351,plettenberg bay,-34.0527,23.3716,18.02,89,79,4.42,ZA,1680479517
352,dunedin,-45.8742,170.5036,16.0,53,14,0.45,NZ,1680479260
353,te anau,-45.4167,167.7167,13.37,55,33,0.73,NZ,1680479518
354,chiguayante,-36.9167,-73.0167,14.29,67,0,5.14,CL,1680479518
355,sayaxche,16.5167,-90.1667,29.52,33,51,2.94,GT,1680479518
356,fort nelson,58.8053,-122.7002,1.08,48,75,1.79,CA,1680479519
357,belaya gora,68.5333,146.4167,-17.91,85,31,4.59,RU,1680479519
358,laramie,41.3114,-105.5911,6.42,62,100,7.2,US,1680479519
359,kodinsk,58.6881,99.1844,-6.95,88,100,4.42,RU,1680479519
360,ajdabiya,30.7554,20.2263,22.38,14,5,10.27,LY,1680479519
361,ayan,56.45,138.1667,-5.24,63,74,1.5,RU,1680479519
362,springfield,37.2153,-93.2982,22.92,35,40,7.2,US,1680479441
363,krutikha,53.9599,81.2093,-6.53,74,58,1.83,RU,1680479520
364,manoharpur,27.3,75.95,20.98,48,0,2.5,IN,1680479520
365,pisco,-13.7,-76.2167,25.03,83,0,7.72,PE,1680479520
366,bandarbeyla,9.4942,50.8122,27.12,77,34,2.79,SO,1680479520
